[2025-05-23 03:32:17] Simulating network: someAdvancedNetwork, UntilTime: 10000, Runs: 500
[2025-05-23 03:37:33] Simulating network: someAdvancedNetwork, UntilTime: 10000, Runs: 500
[2025-05-23 03:43:28] Simulating network: someAdvancedNetwork, UntilTime: 10000, Runs: 500
[2025-05-23 03:46:26] Simulating network: someAdvancedNetwork, UntilTime: 10000, Runs: 500
[2025-05-23 03:46:40] Simulating network: someAdvancedNetwork, UntilTime: 10000, Runs: 500
[2025-05-23 03:49:13] Simulating network: someAdvancedNetwork, UntilTime: 10000, Runs: 500
[2025-05-23 03:49:27] Simulating network: someAdvancedNetwork, UntilTime: 10000, Runs: 500
[2025-05-23 03:54:22] Simulating network: someAdvancedNetwork, UntilTime: 10000, Runs: 500
[2025-05-23 04:01:17] Simulating network: someAdvancedNetwork, UntilTime: 10000, Runs: 500
[2025-05-23 04:01:26] Simulating network: someAdvancedNetwork, UntilTime: 10000, Runs: 500
[2025-05-23 04:06:46] Simulating network: someAdvancedNetwork, UntilTime: 10000, Runs: 500
[2025-05-23 04:09:45] Simulating network: someAdvancedNetwork, UntilTime: 10000, Runs: 500
[2025-05-23 04:12:26] Simulating network: someAdvancedNetwork, UntilTime: 10000, Runs: 500
[2025-05-23 04:13:53] Simulating network: someAdvancedNetwork, UntilTime: 10000, Runs: 500
[2025-05-23 04:14:24] Simulating network: someAdvancedNetwork, UntilTime: 10000, Runs: 500
[2025-05-23 04:15:44] Simulating network: someAdvancedNetwork, UntilTime: 10000, Runs: 500
[2025-05-23 04:16:51] Simulating network: someAdvancedNetwork, UntilTime: 10000, Runs: 500
[2025-05-23 04:27:34] Simulating network: someAdvancedNetwork, UntilTime: 10000, Runs: 500
[2025-05-23 04:28:54] Simulating network: someAdvancedNetwork, UntilTime: 10000, Runs: 500
[2025-05-23 04:32:41] Simulating network: someAdvancedNetwork, UntilTime: 10000, Runs: 500
[2025-05-23 04:33:26] Simulating network: someAdvancedNetwork, UntilTime: 10000, Runs: 500
[2025-05-23 04:35:10] Simulating network: someAdvancedNetwork, UntilTime: 10000, Runs: 500
[2025-05-23 04:43:19] Simulating network: someAdvancedNetwork, UntilTime: 10000, Runs: 500
[2025-05-23 04:43:33] Simulating network: someAdvancedNetwork, UntilTime: 10000, Runs: 5
[2025-05-23 04:43:46] Simulating network: someAdvancedNetwork, UntilTime: 500, Runs: 5
